"","No","Treeno","TreeTH","stemheight","stemage","Dwithbark","Dnobark0","Dnobark1","Dnobark2","Dnobark3","Dnobark4","Dnobark5","Dnobark6","Dnobark7","Dnobark8","Dnobark9","Dnobark10","Dnobark11"
"80",80,8,12.6,1.3,17,10.1,9.4,8.8,8.7,8.2,7.6,6.5,5.5,4.6,1.8,0,0,0
"81",81,8,12.6,3.6,15,8.5,7.7,7.2,6.6,6.3,5.5,4.5,3.2,1.9,0,0,0,0
"82",82,8,12.6,5.6,14,7.3,6.6,5.7,5.4,4.7,4.1,2.5,1.4,0,0,0,0,0
"83",83,8,12.6,7.6,12,6.2,5.4,4.8,4.3,3.8,3.1,1.9,0,0,0,0,0,0
"84",84,8,12.6,9.6,10,4.6,3.8,3.3,3,2.6,1.7,0,0,0,0,0,0,0
"85",85,8,12.6,11.6,6,1.6,1.5,1.3,1.1,0,0,0,0,0,0,0,0,0
"86",86,8,12.6,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",87,9,19.3,0,31,26.3,23.9,23.2,22.1,19.7,16.4,13.4,9.5,0,0,0,0,0
"88",88,9,19.3,1.3,31,22.9,21.2,20.8,19.2,17.7,14.7,12.3,6.8,0,0,0,0,0
"89",89,9,19.3,3.6,31,21.2,19.4,19.1,17.8,15.6,12.6,9.1,2.1,0,0,0,0,0
"90",90,9,19.3,5.6,29,19.9,18.2,17.9,16.3,14.2,11.2,6.9,0,0,0,0,0,0
"91",91,9,19.3,7.6,27,18.7,17.1,16.7,15.2,13.1,9.6,4.8,0,0,0,0,0,0
"92",92,9,19.3,9.6,26,16.3,15.7,15.4,13.8,11.3,7.2,2.1,0,0,0,0,0,0
"93",93,9,19.3,11.6,23,14.8,13.6,13.3,11.5,8.7,3.9,0,0,0,0,0,0,0
"94",94,9,19.3,13.6,21,12.7,11.1,10.7,8.8,5.6,0.8,0,0,0,0,0,0,0
"95",95,9,19.3,15.6,16,9.6,8.4,7.8,5.6,1.9,0,0,0,0,0,0,0,0
"96",96,9,19.3,17.6,11,6.3,5.2,4.6,2.2,0,0,0,0,0,0,0,0,0
"97",97,9,19.3,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
